"Account Name","Vertical","Status","ABC ID","Date"
"American Inn N Kansas City - 9215251","Hotels","Cancelled","","11/05/2015 07:01 AM"
"American Inn Rialto","Hotels","Cancelled","","11/05/2015 06:48 AM"
"American Inn  Rossford,  Ohio","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americano Beach Resort Daytona Beach - 69723637","Hotels","Cancelled","","09/12/2014 04:05 AM"
"American Quality Lodge Panama City - 65301138","Hotels","Cancelled","","09/05/2013 09:09 AM"
"America's Best Franchising Inc","US Automotive","Tracking","",""
"Americas Best Inn Altamonte spgs","Hotels","Cancelled","","11/05/2015 06:57 AM"
"America's Best Inn Brinkley","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Americas Best Inn Burleson","Hotels","Cancelled","","11/05/2015 06:58 AM"
"America's Best Inn Little Rock","US Automotive","Tracking","",""
"America's Best Inn Main Gate East Kissimmee","Hotels","Cancelled","","11/05/2015 06:54 AM"
"Americas Best Inn Pompano","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Americas Best Inn Pompano Beach - 70929894","Hotels","Cancelled","","09/12/2014 04:06 AM"
"Americas Best inn Portsmouth","Hotels","Cancelled","","11/05/2015 06:49 AM"
"America's Best Inn San Francisco","Hotels","Cancelled","","03/31/2014 04:55 AM"
"America's Best Inn & Suites Lincoln City","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Americas Best Inn & Suites Lincoln City - 2768187","Hotels","Cancelled","","02/12/2015 05:54 AM"
"Americas Best Value Airport Inn Seattle - 9266892","Hotels","Cancelled","","07/24/2013 08:24 AM"
"Americas Best Value Anaheim Astoria Inn & Suites Anaheim - 64410236","Hotels","Cancelled","","03/06/2014 05:55 AM"
"Americas Best Value Astoria Inn & Suites-Anaheim","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Carolina Duke Inn","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value-Courtyard Inn","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Americas Best Value Dakota Cowboy Inn","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Day's End Motel","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Americas Best Value Executive Inn & Suites Arkadelphia","Hotels","Cancelled","","11/05/2015 07:00 AM"
"Americas Best Value Executive Inn & Suites-Arkadelphia","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Americas Best Value Gold Country Inn & Casino","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn 4th St","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Americas Best Value Inn- 53632116","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn - 71018806","Hotels","Cancelled","","09/12/2014 04:07 AM"
"Americas Best Value Inn-Aberdeen","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Americas Best Value Inn-Abilene","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Abilene,TX","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Abingdon","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Acworth/Kennesaw","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Addison/Dallas","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn - Adelanto/Victorville","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Americas Best Value Inn-Aiken","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Alachua","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Albert Lea","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Albuquerque","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Albuquerque,NM","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Alexandria","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Allentown","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Altus","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Alva","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Alvarado","Hotels","Cancelled","","11/05/2015 06:47 AM"
"America's Best Value Inn Amarillo - 54149433","Hotels","Cancelled","","10/30/2013 01:42 AM"
"Americas Best Value Inn Amarillo Airport TX","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Amarillo East/Grand Street","Hotels","Cancelled","","11/05/2015 06:46 AM"
"America's Best Value Inn Anaheim","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Americas Best Value Inn and Conference Center-Lima","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Anderson","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn and Suites-Anadarko","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn and Suites- Flint","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn and Suites Golden Gate - 2768937","Hotels","Cancelled","","11/05/2015 06:54 AM"
"Americas Best Value Inn and Suites-Healdsburg","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn and Suites Little Rock/Bryant","Hotels","Cancelled","","11/05/2015 06:57 AM"
"Americas Best Value Inn and Suites/Lookout Mountain West","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn and Suites-Slidell","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Angleton","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Anthony/El Paso West","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Apex/Raleigh","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Ardmore Tennessee","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Arkansas City","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Arlington/Dallas","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Americas Best Value Inn-Athens","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Athens,TX","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Americas Best Value Inn-Atlantic/IA","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-AT&T Center - San Antonio","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Americas Best Value Inn-Auburn","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn- Augusta","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn Augusta/Fort Gordon","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Austin","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Americas Best Value Inn-Austinburg","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Azusa/Pasadena","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Bainbridge","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn Bakersfield","Hotels","Cancelled","","11/05/2015 06:57 AM"
"Americas Best Value Inn Bakersfield - 53784056","Hotels","Cancelled","","05/02/2013 09:29 AM"
"Americas Best Value Inn-Baltimore","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Barrington/Chicago West","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Barstow","Hotels","Cancelled","","11/05/2015 06:46 AM"
